NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NEGATIVE REGULATION OF WOUND HEALING%GOBP%GO:0061045	NEGATIVE REGULATION OF WOUND HEALING%GOBP%GO:0061045	Details ...	51	-0.7474599	-2.933088	0.0	0.0	0.0	638	tags=29%, list=4%, signal=31%	
TERPENOID METABOLIC PROCESS%GOBP%GO:0006721	TERPENOID METABOLIC PROCESS%GOBP%GO:0006721	Details ...	58	-0.7330024	-2.8719397	0.0	0.0	0.0	1295	tags=45%, list=8%, signal=49%	
CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 81%211897	CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 81%211897	Details ...	48	-0.75014603	-2.8678362	0.0	0.0	0.0	1610	tags=50%, list=10%, signal=56%	
DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	Details ...	52	-0.74824995	-2.8643906	0.0	0.0	0.0	1295	tags=46%, list=8%, signal=50%	
NEGATIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900047	NEGATIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900047	Details ...	36	-0.81187373	-2.8618429	0.0	0.0	0.0	599	tags=39%, list=4%, signal=40%	
NEGATIVE REGULATION OF BLOOD COAGULATION%GOBP%GO:0030195	NEGATIVE REGULATION OF BLOOD COAGULATION%GOBP%GO:0030195	Details ...	36	-0.81187373	-2.8589842	0.0	0.0	0.0	599	tags=39%, list=4%, signal=40%	
NEGATIVE REGULATION OF COAGULATION%GOBP%GO:0050819	NEGATIVE REGULATION OF COAGULATION%GOBP%GO:0050819	Details ...	38	-0.80294657	-2.8497152	0.0	0.0	0.0	599	tags=37%, list=4%, signal=38%	
RETINOID METABOLIC PROCESS%GOBP%GO:0001523	RETINOID METABOLIC PROCESS%GOBP%GO:0001523	Details ...	50	-0.74856895	-2.847067	0.0	0.0	0.0	1295	tags=46%, list=8%, signal=50%	
PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME%R-HSA-211945.8	PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME%R-HSA-211945.8	Details ...	81	-0.67456037	-2.8454719	0.0	0.0	0.0	1610	tags=40%, list=10%, signal=44%	
REGULATION OF BLOOD COAGULATION%GOBP%GO:0030193	REGULATION OF BLOOD COAGULATION%GOBP%GO:0030193	Details ...	54	-0.7185026	-2.8079944	0.0	0.0	0.0	599	tags=31%, list=4%, signal=33%	
REGULATION OF COAGULATION%GOBP%GO:0050818	REGULATION OF COAGULATION%GOBP%GO:0050818	Details ...	56	-0.7123974	-2.782668	0.0	0.0	0.0	599	tags=30%, list=4%, signal=31%	
XENOBIOTIC METABOLIC PROCESS%GOBP%GO:0006805	XENOBIOTIC METABOLIC PROCESS%GOBP%GO:0006805	Details ...	85	-0.64727354	-2.7190022	0.0	0.0	0.0	1346	tags=35%, list=9%, signal=38%	
PLASMA LIPOPROTEIN PARTICLE REMODELING%GOBP%GO:0034369	PLASMA LIPOPROTEIN PARTICLE REMODELING%GOBP%GO:0034369	Details ...	23	-0.8220364	-2.6743603	0.0	0.0	0.0	1691	tags=57%, list=11%, signal=63%	
REGULATION OF HEMOSTASIS%GOBP%GO:1900046	REGULATION OF HEMOSTASIS%GOBP%GO:1900046	Details ...	55	-0.7138967	-2.6719587	0.0	0.0	0.0	599	tags=31%, list=4%, signal=32%	
DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20240310%WP3896%HOMO SAPIENS	DENGUE 2 INTERACTIONS WITH COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20240310%WP3896%HOMO SAPIENS	Details ...	40	-0.71502984	-2.6517184	0.0	0.0	0.0	950	tags=43%, list=6%, signal=45%	
PROTEIN-LIPID COMPLEX REMODELING%GOBP%GO:0034368	PROTEIN-LIPID COMPLEX REMODELING%GOBP%GO:0034368	Details ...	23	-0.8220364	-2.6432502	0.0	0.0	0.0	1691	tags=57%, list=11%, signal=63%	
COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20240310%WP558%HOMO SAPIENS	COMPLEMENT AND COAGULATION CASCADES%WIKIPATHWAYS_20240310%WP558%HOMO SAPIENS	Details ...	40	-0.71502984	-2.6426826	0.0	0.0	0.0	950	tags=43%, list=6%, signal=45%	
DISORDERS OF BILE ACID SYNTHESIS AND BILIARY TRANSPORT%WIKIPATHWAYS_20240310%WP5176%HOMO SAPIENS	DISORDERS OF BILE ACID SYNTHESIS AND BILIARY TRANSPORT%WIKIPATHWAYS_20240310%WP5176%HOMO SAPIENS	Details ...	19	-0.8701615	-2.6422024	0.0	0.0	0.0	1036	tags=68%, list=7%, signal=73%	
RETINOIC ACID METABOLIC PROCESS%GOBP%GO:0042573	RETINOIC ACID METABOLIC PROCESS%GOBP%GO:0042573	Details ...	16	-0.90237707	-2.6337023	0.0	0.0	0.0	1081	tags=69%, list=7%, signal=74%	
BILE ACID AND BILE SALT METABOLISM%REACTOME DATABASE ID RELEASE 81%194068	BILE ACID AND BILE SALT METABOLISM%REACTOME DATABASE ID RELEASE 81%194068	Details ...	37	-0.7306323	-2.617709	0.0	0.0	0.0	1566	tags=51%, list=10%, signal=57%	
CEREBROTENDINOUS XANTHOMATOSIS (CTX)%PATHWHIZ%PW000196	CEREBROTENDINOUS XANTHOMATOSIS (CTX)%PATHWHIZ%PW000196		15	-0.8774076	-2.6160095	0.0	0.0	0.0	1466	tags=80%, list=9%, signal=88%	
FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME DATABASE ID RELEASE 81%140877	FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME DATABASE ID RELEASE 81%140877		30	-0.77564436	-2.6141453	0.0	0.0	0.0	950	tags=43%, list=6%, signal=46%	
RETEPLASE ACTION PATHWAY%SMPDB%SMP0000285	RETEPLASE ACTION PATHWAY%SMPDB%SMP0000285		17	-0.85388887	-2.609821	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
PLASMA LIPOPROTEIN PARTICLE ORGANIZATION%GOBP%GO:0071827	PLASMA LIPOPROTEIN PARTICLE ORGANIZATION%GOBP%GO:0071827		35	-0.743161	-2.6060886	0.0	0.0	0.0	1691	tags=49%, list=11%, signal=54%	
DRUG ADME%REACTOME DATABASE ID RELEASE 81%9748784	DRUG ADME%REACTOME DATABASE ID RELEASE 81%9748784		67	-0.641678	-2.5897903	0.0	0.0	0.0	620	tags=30%, list=4%, signal=31%	
ARDEPARIN ACTION PATHWAY%SMPDB%SMP0000275	ARDEPARIN ACTION PATHWAY%SMPDB%SMP0000275		17	-0.85388887	-2.5870304	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
NEGATIVE REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903035	NEGATIVE REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903035		65	-0.6363682	-2.5834916	0.0	0.0	0.0	638	tags=23%, list=4%, signal=24%	
CELLULAR RESPONSE TO XENOBIOTIC STIMULUS%GOBP%GO:0071466	CELLULAR RESPONSE TO XENOBIOTIC STIMULUS%GOBP%GO:0071466		109	-0.596217	-2.5795195	0.0	0.0	0.0	1075	tags=28%, list=7%, signal=30%	
HORMONE METABOLIC PROCESS%GOBP%GO:0042445	HORMONE METABOLIC PROCESS%GOBP%GO:0042445		108	-0.5898491	-2.5662923	0.0	0.0	0.0	2152	tags=40%, list=14%, signal=46%	
27-HYDROXYLASE DEFICIENCY%PATHWHIZ%PW000697	27-HYDROXYLASE DEFICIENCY%PATHWHIZ%PW000697		15	-0.8774076	-2.5506086	0.0	0.0	0.0	1466	tags=80%, list=9%, signal=88%	
ACENOCOUMAROL ACTION PATHWAY%PATHWHIZ%PW000312	ACENOCOUMAROL ACTION PATHWAY%PATHWHIZ%PW000312		17	-0.85388887	-2.5486765	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
ALPHA-AMINO ACID CATABOLIC PROCESS%GOBP%GO:1901606	ALPHA-AMINO ACID CATABOLIC PROCESS%GOBP%GO:1901606		65	-0.640374	-2.5465403	0.0	0.0	0.0	2532	tags=43%, list=16%, signal=51%	
COMPLEMENT SYSTEM%WIKIPATHWAYS_20240310%WP2806%HOMO SAPIENS	COMPLEMENT SYSTEM%WIKIPATHWAYS_20240310%WP2806%HOMO SAPIENS		71	-0.62734205	-2.5433888	0.0	0.0	0.0	2194	tags=39%, list=14%, signal=46%	
RETINOL METABOLIC PROCESS%GOBP%GO:0042572	RETINOL METABOLIC PROCESS%GOBP%GO:0042572		18	-0.82809573	-2.5426126	0.0	0.0	0.0	1081	tags=61%, list=7%, signal=66%	
PLASMA LIPOPROTEIN REMODELING%REACTOME%R-HSA-8963899.3	PLASMA LIPOPROTEIN REMODELING%REACTOME%R-HSA-8963899.3		22	-0.7927122	-2.5406713	0.0	0.0	0.0	858	tags=45%, list=6%, signal=48%	
CONGENITAL BILE ACID SYNTHESIS DEFECT TYPE II%PATHWHIZ%PW000192	CONGENITAL BILE ACID SYNTHESIS DEFECT TYPE II%PATHWHIZ%PW000192		15	-0.8774076	-2.5370686	0.0	0.0	0.0	1466	tags=80%, list=9%, signal=88%	
BLOOD COAGULATION%PANTHER PATHWAY%P00011	BLOOD COAGULATION%PANTHER PATHWAY%P00011		25	-0.7774607	-2.5320435	0.0	0.0	0.0	599	tags=40%, list=4%, signal=42%	
LEPIRUDIN ACTION PATHWAY%SMPDB%SMP0000278	LEPIRUDIN ACTION PATHWAY%SMPDB%SMP0000278		17	-0.85388887	-2.531619	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
DICOUMAROL ACTION PATHWAY%PATHWHIZ%PW000632	DICOUMAROL ACTION PATHWAY%PATHWHIZ%PW000632		17	-0.85388887	-2.5300906	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
HEPARIN ACTION PATHWAY%SMPDB%SMP0000274	HEPARIN ACTION PATHWAY%SMPDB%SMP0000274		17	-0.85388887	-2.529984	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
DICUMAROL ACTION PATHWAY%PATHWHIZ%PW000313	DICUMAROL ACTION PATHWAY%PATHWHIZ%PW000313		17	-0.85388887	-2.529248	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
ARGATROBAN ACTION PATHWAY%SMPDB%SMP0000276	ARGATROBAN ACTION PATHWAY%SMPDB%SMP0000276		17	-0.85388887	-2.5241375	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
TRANEXAMIC ACID ACTION PATHWAY%PATHWHIZ%PW000309	TRANEXAMIC ACID ACTION PATHWAY%PATHWHIZ%PW000309		17	-0.85388887	-2.522234	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
UROKINASE ACTION PATHWAY%SMPDB%SMP0000284	UROKINASE ACTION PATHWAY%SMPDB%SMP0000284		17	-0.85388887	-2.5192766	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
FONDAPARINUX ACTION PATHWAY%SMPDB%SMP0000273	FONDAPARINUX ACTION PATHWAY%SMPDB%SMP0000273		17	-0.85388887	-2.5160868	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
REGULATION OF FIBRINOLYSIS%GOBP%GO:0051917	REGULATION OF FIBRINOLYSIS%GOBP%GO:0051917		16	-0.8564942	-2.5123312	0.0	0.0	0.0	589	tags=56%, list=4%, signal=58%	
ENOXAPARIN ACTION PATHWAY%SMPDB%SMP0000272	ENOXAPARIN ACTION PATHWAY%SMPDB%SMP0000272		17	-0.85388887	-2.5108094	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
ASPIRIN ADME%REACTOME DATABASE ID RELEASE 81%9749641	ASPIRIN ADME%REACTOME DATABASE ID RELEASE 81%9749641		17	-0.8529506	-2.5085506	0.0	0.0	0.0	276	tags=59%, list=2%, signal=60%	
BILE ACID BIOSYNTHESIS%SMPDB%SMP0000035	BILE ACID BIOSYNTHESIS%SMPDB%SMP0000035		15	-0.8774076	-2.5075717	0.0	0.0	0.0	1466	tags=80%, list=9%, signal=88%	
PHENPROCOUMON ACTION PATHWAY%PATHWHIZ%PW000314	PHENPROCOUMON ACTION PATHWAY%PATHWHIZ%PW000314		17	-0.85388887	-2.5056012	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
APROTININ ACTION PATHWAY%SMPDB%SMP0000288	APROTININ ACTION PATHWAY%SMPDB%SMP0000288		17	-0.85388887	-2.5053327	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
CONGENITAL BILE ACID SYNTHESIS DEFECT TYPE III%PATHWHIZ%PW000193	CONGENITAL BILE ACID SYNTHESIS DEFECT TYPE III%PATHWHIZ%PW000193		15	-0.8774076	-2.5047512	0.0	0.0	0.0	1466	tags=80%, list=9%, signal=88%	
FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS	FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS		31	-0.7315049	-2.5017047	0.0	0.0	0.0	1222	tags=35%, list=8%, signal=38%	
PHENINDIONE ACTION PATHWAY%SMPDB%SMP0000655	PHENINDIONE ACTION PATHWAY%SMPDB%SMP0000655		17	-0.85388887	-2.5013742	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
ORGANIC HYDROXY COMPOUND CATABOLIC PROCESS%GOBP%GO:1901616	ORGANIC HYDROXY COMPOUND CATABOLIC PROCESS%GOBP%GO:1901616		33	-0.7118138	-2.497727	0.0	0.0	0.0	948	tags=39%, list=6%, signal=42%	
REGULATION OF WOUND HEALING%GOBP%GO:0061041	REGULATION OF WOUND HEALING%GOBP%GO:0061041		100	-0.57546943	-2.4967277	0.0	0.0	0.0	638	tags=21%, list=4%, signal=22%	
BIVALIRUDIN ACTION PATHWAY%SMPDB%SMP0000277	BIVALIRUDIN ACTION PATHWAY%SMPDB%SMP0000277		17	-0.85388887	-2.4931788	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
COMPLEMENT PATHWAY%PATHWHIZ%PW064819	COMPLEMENT PATHWAY%PATHWHIZ%PW064819		17	-0.84452385	-2.4836168	0.0	0.0	0.0	1482	tags=59%, list=10%, signal=65%	
PROTEIN-CONTAINING COMPLEX REMODELING%GOBP%GO:0034367	PROTEIN-CONTAINING COMPLEX REMODELING%GOBP%GO:0034367		25	-0.7825724	-2.482155	0.0	0.0	0.0	1691	tags=52%, list=11%, signal=58%	
ANISTREPLASE ACTION PATHWAY%PATHWHIZ%PW000303	ANISTREPLASE ACTION PATHWAY%PATHWHIZ%PW000303		17	-0.85388887	-2.481373	0.0	0.0	0.0	141	tags=53%, list=1%, signal=53%	
