NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	73	0.6527362	2.1736214	0.0	0.0	0.0	3704	tags=71%, list=24%, signal=93%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	66	0.65725666	2.1651483	0.0	0.0	0.0	3127	tags=68%, list=20%, signal=85%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	65	0.6504819	2.1513708	0.0	0.0	0.0	3127	tags=66%, list=20%, signal=83%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	102	0.6214411	2.134509	0.0	2.2675532E-4	0.001	3704	tags=64%, list=24%, signal=83%	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details ...	62	0.659062	2.132997	0.0	1.8140425E-4	0.001	3704	tags=76%, list=24%, signal=99%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	66	0.65725666	2.132463	0.0	1.5117021E-4	0.001	3127	tags=68%, list=20%, signal=85%	
FCERI MEDIATED MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 81%2871796	FCERI MEDIATED MAPK ACTIVATION%REACTOME DATABASE ID RELEASE 81%2871796	Details ...	76	0.6198122	2.060128	0.0	9.107975E-4	0.007	4612	tags=70%, list=30%, signal=99%	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333	Details ...	115	0.5891768	2.053291	0.0	9.094161E-4	0.008	3704	tags=59%, list=24%, signal=77%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	76	0.61330086	2.0523238	0.0	8.0836983E-4	0.008	3127	tags=61%, list=20%, signal=76%	
CD22 MEDIATED BCR REGULATION%REACTOME%R-HSA-5690714.4	CD22 MEDIATED BCR REGULATION%REACTOME%R-HSA-5690714.4	Details ...	58	0.643824	2.0438097	0.0	9.0998557E-4	0.01	4584	tags=81%, list=30%, signal=115%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	147	0.5655509	2.0297763	0.0	0.0010734777	0.013	3958	tags=53%, list=26%, signal=71%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	Details ...	83	0.6027038	2.0222523	0.0	0.0011366095	0.015	3127	tags=58%, list=20%, signal=72%	
FCERI MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 81%2871837	FCERI MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 81%2871837	Details ...	124	0.57541716	2.0201435	0.0	0.001119382	0.016	4716	tags=66%, list=31%, signal=94%	
B CELL ACTIVATION%REACTOME%R-HSA-983705.3	B CELL ACTIVATION%REACTOME%R-HSA-983705.3	Details ...	155	0.553477	1.998149	0.0	0.0018205644	0.028	4716	tags=59%, list=31%, signal=85%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.6	RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.6	Details ...	101	0.5790441	1.9934692	0.0	0.0017600501	0.029	2554	tags=50%, list=17%, signal=60%	
ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION%REACTOME DATABASE ID RELEASE 81%2730905	ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION%REACTOME DATABASE ID RELEASE 81%2730905	Details ...	61	0.6126896	1.9848001	0.0	0.0019343536	0.034	4584	tags=75%, list=30%, signal=107%	
ANTIGEN ACTIVATES B CELL RECEPTOR (BCR) LEADING TO GENERATION OF SECOND MESSENGERS%REACTOME DATABASE ID RELEASE 81%983695	ANTIGEN ACTIVATES B CELL RECEPTOR (BCR) LEADING TO GENERATION OF SECOND MESSENGERS%REACTOME DATABASE ID RELEASE 81%983695	Details ...	81	0.5923715	1.9842005	0.0	0.001820568	0.034	4584	tags=67%, list=30%, signal=94%	
REGULATION OF ACTIN DYNAMICS FOR PHAGOCYTIC CUP FORMATION%REACTOME%R-HSA-2029482.4	REGULATION OF ACTIN DYNAMICS FOR PHAGOCYTIC CUP FORMATION%REACTOME%R-HSA-2029482.4	Details ...	111	0.5717215	1.9801269	0.0	0.0019222874	0.038	4584	tags=56%, list=30%, signal=79%	
ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20240310%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20240310%WP111%HOMO SAPIENS	Details ...	67	0.60293704	1.9703914	0.0	0.0023966592	0.05	3704	tags=67%, list=24%, signal=88%	
